"subject" "activity" "variable" "average"
"1" 1 "LAYING" "tBodyAcc-mean()-X" 0.22159824394
"2" 1 "LAYING" "tBodyAcc-mean()-Y" -0.0405139534294
"3" 1 "LAYING" "tBodyAcc-mean()-Z" -0.11320355358
"4" 1 "LAYING" "tBodyAcc-std()-X" -0.9280564692
"5" 1 "LAYING" "tBodyAcc-std()-Y" -0.83682740562
"6" 1 "LAYING" "tBodyAcc-std()-Z" -0.826061401628
"7" 1 "LAYING" "tGravityAcc-mean()-X" -0.24888179828
"8" 1 "LAYING" "tGravityAcc-mean()-Y" 0.70554977346
"9" 1 "LAYING" "tGravityAcc-mean()-Z" 0.4458177198
"10" 1 "LAYING" "tGravityAcc-std()-X" -0.8968300184
"11" 1 "LAYING" "tGravityAcc-std()-Y" -0.90772000676
"12" 1 "LAYING" "tGravityAcc-std()-Z" -0.85236629022
"13" 1 "LAYING" "tBodyAccJerk-mean()-X" 0.0810865342
"14" 1 "LAYING" "tBodyAccJerk-mean()-Y" 0.0038382040088
"15" 1 "LAYING" "tBodyAccJerk-mean()-Z" 0.010834236361
"16" 1 "LAYING" "tBodyAccJerk-std()-X" -0.958482112
"17" 1 "LAYING" "tBodyAccJerk-std()-Y" -0.9241492736
"18" 1 "LAYING" "tBodyAccJerk-std()-Z" -0.9548551108
"19" 1 "LAYING" "tBodyGyro-mean()-X" -0.016553093978
"20" 1 "LAYING" "tBodyGyro-mean()-Y" -0.064486124088
"21" 1 "LAYING" "tBodyGyro-mean()-Z" 0.14868943626
"22" 1 "LAYING" "tBodyGyro-std()-X" -0.87354386782
"23" 1 "LAYING" "tBodyGyro-std()-Y" -0.9510904402
"24" 1 "LAYING" "tBodyGyro-std()-Z" -0.9082846626
"25" 1 "LAYING" "tBodyGyroJerk-mean()-X" -0.107270949192
"26" 1 "LAYING" "tBodyGyroJerk-mean()-Y" -0.04151728689
"27" 1 "LAYING" "tBodyGyroJerk-mean()-Z" -0.0740501211
"28" 1 "LAYING" "tBodyGyroJerk-std()-X" -0.9186085208
"29" 1 "LAYING" "tBodyGyroJerk-std()-Y" -0.9679072436
"30" 1 "LAYING" "tBodyGyroJerk-std()-Z" -0.9577901596
"31" 1 "LAYING" "tBodyAccMag-mean()" -0.8419291525
"32" 1 "LAYING" "tBodyAccMag-std()" -0.79514486386
"33" 1 "LAYING" "tGravityAccMag-mean()" -0.8419291525
